"","c_c_cx","f_fr_cx_x","c_c_cx_us","f_mn_cx_xs","f_sd_cx_xs","c_c_dx","f_fr_dx_x","f_sd_dx_xs","c_c_dx_b0","f_fr_dx_tb_b0","f_mn_xs_dx_b0","f_sd_xs_dx_b0","f_mn_tg_dx_b0","f_sd_tg_dx_b0","c_c_dx_b1","f_fr_dx_tb_b1","f_mn_xs_dx_b1","f_sd_xs_dx_b1","f_mn_tg_dx_b1","f_sd_tg_dx_b1"
"830",23,0.0766666666666667,2,60.695652173913,5.85650721408095,277,0.923333333333333,676.298316765356,85,0.306859205776173,122.964705882353,57.9407007616013,1.08112965878986,0.638934954639879,192,0.693140794223827,1586.203125,1.48588364373843,1.09265523930495,0.660189558926701
"831",71,0.236666666666667,2,57.5211267605634,3.99245469668204,229,0.763333333333333,639.596703625533,59,0.25764192139738,123.677966101695,58.4736477450229,0.795672770204215,0.426454121841003,170,0.74235807860262,1583.21176470588,0.347684641015873,0.819950257532695,0.432289517413238
"832",47,0.156666666666667,2,56.2553191489362,1.73165871909581,253,0.843333333333333,613.494663774135,57,0.225296442687747,116.122807017544,3.22354568096126,0.72129842213222,0.501320434988567,196,0.774703557312253,1583.03571428571,0.0644924212959562,0.820617999785986,0.535268818484602
"833",52,0.173333333333333,1,56,0,248,0.826666666666667,635.824399255286,62,0.25,116.467741935484,3.65318130002085,1.0244909270865,0.585145445937685,186,0.75,1583.36021505376,0.578245931582053,1.03718699893436,0.582321712409495
"834",53,0.176666666666667,2,56.2264150943396,1.63270246436105,247,0.823333333333333,626.615727180857,59,0.238866396761134,116,0,1.00507321028874,0.563683951193567,188,0.761133603238866,1585.55319148936,4.3604045812594,0.919248350163832,0.535581986721797
"835",53,0.176666666666667,2,56.2264150943396,1.63270246436105,247,0.823333333333333,626.707051762263,59,0.238866396761134,116,0,0.897854069183613,0.540666549232206,188,0.761133603238866,1585.76595744681,4.47314809396354,0.936255638612145,0.565560747244406
"836",54,0.18,1,56,0,246,0.82,634.748040125468,61,0.247967479674797,116,0,0.942707963784536,0.56080167810382,185,0.752032520325203,1585.86486486486,4.52119430623275,0.966778730568678,0.575488934184432
"837",58,0.193333333333333,2,56.2068965517241,1.56203471074567,242,0.806666666666667,608.519871326254,56,0.231404958677686,144.839285714286,25.5064255109754,0.901797784458507,0.505181306540378,186,0.768595041322314,1579.22580645161,5.67781967256672,0.690249504914155,0.466797779575527
"838",41,0.136666666666667,1,56,0,259,0.863333333333333,588.491202111643,52,0.200772200772201,116,0,0.950008247412887,0.52857610024093,207,0.799227799227799,1585.07729468599,4.05682063289218,1.0756446539777,0.54437526882196
"839",46,0.153333333333333,1,56,0,254,0.846666666666667,624.294287669457,60,0.236220472440945,116,0,1.08715714438487,0.585981768752528,194,0.763779527559055,1585.73195876289,4.456005941059,1.12806360832768,0.576122326271908
"840",51,0.17,1,56,0,249,0.83,632.05290740573,61,0.244979919678715,116,0,1.03964797258377,0.572871980828783,188,0.755020080321285,1585.60638297872,4.38982887541815,1.01815745282301,0.568137523779414
"841",45,0.15,1,56,0,255,0.85,633.785692685004,63,0.247058823529412,116,0,1.04253541654156,0.58682129961545,192,0.752941176470588,1585.44791666667,4.29963610782613,1.04606953466126,0.583723330341449
"842",56,0.186666666666667,1,56,0,244,0.813333333333333,651.380946951112,68,0.278688524590164,118.558823529412,8.22546682555281,0.841261885059414,0.543881791058549,176,0.721311475409836,1556.46022727273,35.9876742231198,0.897037954330444,0.531481151402339
"843",59,0.196666666666667,1,56,0,241,0.803333333333333,620.773277558299,56,0.232365145228216,116,0,0.916759196194735,0.532904066465773,185,0.767634854771784,1585.81081081081,4.49526981325228,0.945187953503235,0.539720809257127
"844",61,0.203333333333333,1,56,0,239,0.796666666666667,653.702733330153,65,0.271966527196653,116.107692307692,3.01346153846154,1.05556838586926,0.576671910470162,174,0.728033472803347,1583.72988505747,1.03221334724929,0.993108754902217,0.552048275571753
"845",68,0.226666666666667,1,56,0,232,0.773333333333333,617.221739582918,53,0.228448275862069,116,0,0.872670393723708,0.490197683534014,179,0.771551724137931,1586.12849162011,4.63653495446848,0.842281111170737,0.502819362622714
"846",63,0.21,1,56,0,237,0.79,652.924588873705,64,0.270042194092827,116,0,1.00410879982842,0.568933313139605,173,0.729957805907173,1586.5838150289,4.79524974611703,1.00140672367673,0.549462162230113
"847",62,0.206666666666667,1,56,0,238,0.793333333333333,638.426785132468,60,0.252100840336134,116,0,0.97283019049693,0.522561501609566,178,0.747899159663866,1586.25842696629,4.68688845272229,0.977966126749071,0.570391373651282
"848",61,0.203333333333333,1,56,0,239,0.796666666666667,644.454443844014,62,0.259414225941423,116,0,1.04047747127345,0.562893929006028,177,0.740585774058577,1586.27683615819,4.69368792894093,1.06416922130368,0.549711552632951
"849",65,0.216666666666667,1,56,0,235,0.783333333333333,641.104353606861,60,0.25531914893617,116,0,0.923941511218831,0.549683972884011,175,0.74468085106383,1586.25714285714,4.68641109801433,0.925978186486781,0.555512434742405
"850",53,0.176666666666667,1,56,0,247,0.823333333333333,650.628368888213,66,0.267206477732794,116,0,0.998418122071486,0.57596466138124,181,0.732793522267207,1586.31491712707,4.70749356997587,1.06468218300078,0.578607128583918
"851",55,0.183333333333333,1,56,0,245,0.816666666666667,637.056836039655,62,0.253061224489796,116.935483870968,5.12385618311284,0.959641675480077,0.549746937682859,183,0.746938775510204,1576.43169398907,9.2889874424725,0.996643932311089,0.548628392547471
"852",82,0.273333333333333,1,56,0,218,0.726666666666667,600.212518054557,136,0.623853211009174,418.683823529412,8.40728492718391,1.79646811661897,1.05254242497069,82,0.376146788990826,1532.74390243902,27.5991233755158,1.8133083096257,1.09298312569356
"853",121,0.403333333333333,2,56.198347107438,1.52997506980577,179,0.596666666666667,648.495519452796,100,0.558659217877095,316.42,73.6127824791992,0.660301709415937,0.52584968491599,79,0.441340782122905,1543.27848101266,29.4320000514743,0.864513999376541,0.475449188309628
"854",88,0.293333333333333,1,56,0,212,0.706666666666667,632.995278414192,116,0.547169811320755,318.051724137931,0.688568893715281,0.802504172532455,0.507275865910854,96,0.452830188679245,1497.11458333333,27.6236495304301,0.755648909117046,0.505011178107652
"855",114,0.38,1,56,0,186,0.62,644.347197571787,103,0.553763440860215,328.029126213592,70.4894230598759,0.803963581720988,0.479675436672472,83,0.446236559139785,1544.56626506024,28.1653212897528,0.840802125814484,0.48191411092479
"856",91,0.303333333333333,1,56,0,209,0.696666666666667,662.105132631787,113,0.54066985645933,278.530973451327,17.6255202701073,0.908802302820342,0.564504622088405,96,0.45933014354067,1541.20833333333,25.469906184196,0.88933068576612,0.534664330347631
"857",74,0.246666666666667,1,56,0,226,0.753333333333333,659.589209217231,121,0.535398230088496,292.429752066116,6.52590450303999,0.971739826599757,0.578069801014326,105,0.464601769911504,1545,10.9129640109896,0.988109137003238,0.594060778642987
"858",76,0.253333333333333,1,56,0,224,0.746666666666667,659.926138617289,118,0.526785714285714,288.076271186441,8.26792534350546,0.968121096619174,0.594904163402772,106,0.473214285714286,1542.45283018868,16.462109239439,1.01666341736203,0.586204771662364
"859",87,0.29,1,56,0,213,0.71,660.055146719886,114,0.535211267605634,286.710526315789,8.08210645514098,0.952174444114212,0.570664576378239,99,0.464788732394366,1541.58585858586,16.1016770822016,0.941140488702424,0.563766963254962
"860",82,0.273333333333333,1,56,0,218,0.726666666666667,660.673518799484,116,0.532110091743119,285.741379310345,6.66325299399888,0.991524234025375,0.590135502166614,102,0.467889908256881,1540.47058823529,17.6593770394865,0.949899246196936,0.566535864260639
"861",76,0.253333333333333,2,56.1578947368421,1.36740853229122,224,0.746666666666667,660.535918597056,122,0.544642857142857,287.450819672131,9.46812421547722,0.894841479861047,0.556514377751705,102,0.455357142857143,1547.8431372549,27.6612716842689,0.957900831014803,0.565601653242939
"862",80,0.266666666666667,2,56.3,1.87349939951952,220,0.733333333333333,661.665538262945,114,0.518181818181818,283.201754385965,7.20784262641975,0.975552746679931,0.568585967213025,106,0.481818181818182,1540.30188679245,15.963895867951,0.989837103798276,0.59712108194757
"863",75,0.25,1,56,0,225,0.75,657.105667132599,123,0.546666666666667,294.991869918699,272.49345487748,0.986006384990254,0.589296972075096,102,0.453333333333333,1541.77450980392,10.3063725490196,1.03682879410168,0.585805312489195
"864",70,0.233333333333333,1,56,0,230,0.766666666666667,653.013122318844,126,0.547826086956522,302.849206349206,54.8832056768839,1.04323036766052,0.631523253250773,104,0.452173913043478,1539.79807692308,39.3932750546088,1.02965831988066,0.599819035166422
"865",81,0.27,1,56,0,219,0.73,655.968954891691,120,0.547945205479452,299.225,274.544692478481,1.00473215800373,0.587247782784076,99,0.452054794520548,1543.78787878788,17.2163578698981,1.01317748488212,0.562792415605575
"866",71,0.236666666666667,1,56,0,229,0.763333333333333,652.49277397035,130,0.567685589519651,314.161538461538,1.50426098369981,1.08544506213462,0.606056940052998,99,0.432314410480349,1551.90909090909,10.4216964053938,1.05639574235799,0.593249003153854
"867",78,0.26,1,56,0,222,0.74,663.99065272372,120,0.540540540540541,278.141666666667,257.55513751761,1.06883298449156,0.582642995224138,102,0.459459459459459,1546.01960784314,10.7882891750992,1.01091789255048,0.58192480764389
